rating_diff,net_goals_diff,p(Home),p(Draw),p(Away),Result
-6.799999999999997,-1.6600000000000001,0.457,0.258,0.285,-1
-7.299999999999997,0.15999999999999992,0.457,0.258,0.285,1
-12.399999999999991,-1.6099999999999999,0.457,0.258,0.285,-1
7.3999999999999915,1.75,0.457,0.258,0.285,1
2.299999999999997,1.5,0.457,0.258,0.285,1
8.0,0.050000000000000044,0.457,0.258,0.285,1
4.900000000000006,0.6199999999999999,0.457,0.258,0.285,1
-6.0,-1.01,0.457,0.258,0.285,-1
1.2000000000000028,-1.49,0.457,0.258,0.285,0
-7.900000000000006,-1.22,0.457,0.258,0.285,0
3.6000000000000085,0.15999999999999992,0.457,0.258,0.285,-1
-7.400000000000006,-0.7700000000000002,0.457,0.258,0.285,1
-9.799999999999997,-0.2300000000000002,0.457,0.258,0.285,-1
-3.0,0.009999999999999898,0.457,0.258,0.285,1
2.8000000000000114,1.2999999999999998,0.457,0.258,0.285,1
7.5,-0.04999999999999982,0.457,0.258,0.285,1
8.700000000000003,0.9200000000000002,0.457,0.258,0.285,1
-3.5,-0.41000000000000014,0.457,0.258,0.285,0
-0.5,-0.16000000000000014,0.457,0.258,0.285,0
-1.8000000000000114,0.27,0.457,0.258,0.285,-1
1.2999999999999972,-1.6500000000000001,0.457,0.258,0.285,1
-11.399999999999991,-0.8999999999999999,0.457,0.258,0.285,0
-2.0999999999999943,-1.03,0.457,0.258,0.285,1
6.299999999999997,0.3699999999999999,0.457,0.258,0.285,0
-3.799999999999997,0.07000000000000006,0.457,0.258,0.285,-1
-0.6999999999999886,1.0700000000000003,0.457,0.258,0.285,0
-0.09999999999999432,0.030000000000000027,0.457,0.258,0.285,1
4.200000000000003,1.6099999999999999,0.457,0.258,0.285,1
4.099999999999994,-0.1399999999999999,0.457,0.258,0.285,1
-8.400000000000006,-1.46,0.457,0.258,0.285,-1
-2.8000000000000114,0.3899999999999999,0.457,0.258,0.285,1
-10.400000000000006,-1.48,0.457,0.258,0.285,-1
14.5,1.24,0.457,0.258,0.285,1
-1.9000000000000057,-0.10999999999999988,0.457,0.258,0.285,1
7.800000000000011,0.6600000000000001,0.457,0.258,0.285,1
7.5,0.44000000000000017,0.457,0.258,0.285,1
-15.799999999999997,-1.3599999999999999,0.457,0.258,0.285,-1
2.4000000000000057,-0.2500000000000002,0.457,0.258,0.285,-1
-7.799999999999997,-1.2699999999999998,0.457,0.258,0.285,0
-0.20000000000000284,-0.5599999999999998,0.457,0.258,0.285,0
3.0,1.35,0.457,0.258,0.285,1
2.0,-0.040000000000000036,0.457,0.258,0.285,0
13.799999999999997,1.74,0.457,0.258,0.285,1
6.799999999999997,0.7199999999999999,0.457,0.258,0.285,1
2.799999999999997,1.0399999999999998,0.457,0.258,0.285,0
-2.5,-0.3400000000000001,0.457,0.258,0.285,1
1.0999999999999943,0.20999999999999996,0.457,0.258,0.285,0
-5.5,-0.25,0.457,0.258,0.285,0
1.9000000000000057,-0.02000000000000024,0.457,0.258,0.285,0
-1.0,0.43000000000000016,0.457,0.258,0.285,1
-2.4000000000000057,-0.8700000000000001,0.457,0.258,0.285,1
