PC1,PC2,PC3,PC4,p(Home),p(Draw),p(Away),Result
-1.3321747623654252,1.2207136312834161,-0.004645008393980295,-0.7162301658301585,0.457,0.258,0.285,0
-1.1715635202484944,0.17748988210113484,-0.41699475267410097,-0.02111329906188949,0.457,0.258,0.285,1
1.5367672700280137,-2.4066160754001378,-0.37794536643797544,-0.11737598180906243,0.457,0.258,0.285,0
-2.1825438473948235,-0.5266091449041439,0.6734621826624734,0.011796210869810187,0.457,0.258,0.285,1
2.3662784743312266,1.434368661564538,0.5292508757490743,0.18602043662203993,0.457,0.258,0.285,0
0.3633028419813286,-0.3111781762253608,-0.677223304491985,0.12993519553709268,0.457,0.258,0.285,1
0.7457707708859812,2.0069501848202482,0.2262264252935215,-0.0020649248774780695,0.457,0.258,0.285,0
0.716678898725285,-0.6223708114692839,1.1036316507435495,-0.9565497520661648,0.457,0.258,0.285,-1
-0.38186659243733934,-0.36360510900069437,0.13699615688949185,1.0777047279590457,0.457,0.258,0.285,-1
-0.26398780958308654,0.6813659829016251,-0.6078228562850672,0.17058568613523872,0.457,0.258,0.285,0
-1.673249844066971,-0.28354212304895055,0.04757890579044037,1.8147600315025065,0.457,0.258,0.285,1
1.6047606956290636,-2.5725701461217847,0.7752868417076021,0.21673419993771068,0.457,0.258,0.285,0
1.8073225561674453,-2.7307352979420645,-0.35481048720319425,-1.0916631888697408,0.457,0.258,0.285,1
2.723513086873946,0.3467410064514372,0.9321146236565425,-0.22311006341492978,0.457,0.258,0.285,0
0.47751983468112,0.693070847174465,-0.5376101123384568,-0.8882699992478919,0.457,0.258,0.285,-1
2.1481061656064546,1.5210682941065798,0.7653604087172561,0.593187527980274,0.457,0.258,0.285,0
0.25379272151448484,0.43200761443563973,0.6536873660856526,0.1736896964488914,0.457,0.258,0.285,1
-1.6860576304562231,0.45523916797422415,0.5899369536186139,-1.4319394051701546,0.457,0.258,0.285,1
-0.9357414203224799,-0.8145383189409523,0.12812925904077024,0.29105352353011943,0.457,0.258,0.285,1
-0.6115572828449011,0.026366957697116836,-0.03170753253380301,-0.002778223051295718,0.457,0.258,0.285,1
-0.9835876124483698,1.8768192489250453,1.1568157055874477,0.2767568520874383,0.457,0.258,0.285,1
-0.5704299953636407,-0.009974790616686605,-0.5750528058609883,0.725909730670681,0.457,0.258,0.285,-1
