ppg_season_diff,net_goals_diff,home_pts_last_5,away_pts_last_5,pts_last_5_diff,best_player_diff,p(Home),p(Draw),p(Away),Result
-1.5,-1.0599999999999998,3,6,-3,-4.0,0.457,0.258,0.285,0
1.5,0.9400000000000002,3,0,3,-2.0,0.457,0.258,0.285,-1
0.0,-0.5,3,3,0,4.5,0.457,0.258,0.285,1
1.5,-0.09999999999999987,3,0,3,2.5,0.457,0.258,0.285,0
2.0,-0.02000000000000024,4,0,4,-0.5,0.457,0.258,0.285,-1
3.0,0.5799999999999998,6,0,6,6.5,0.457,0.258,0.285,0
0.31000000000000005,1.0599999999999998,10,4,6,5.5,0.457,0.258,0.285,1
-0.8900000000000001,-0.5799999999999998,11,13,-2,-5.5,0.457,0.258,0.285,1
-0.79,-1.2,5,9,-4,-3.5,0.457,0.258,0.285,-1
0.10999999999999988,1.3299999999999998,7,5,2,6.0,0.457,0.258,0.285,1
-0.34999999999999987,-0.30000000000000004,4,7,-3,2.5,0.457,0.258,0.285,0
-1.0599999999999998,-1.23,8,12,-4,-6.0,0.457,0.258,0.285,1
-0.34999999999999987,0.09999999999999987,1,6,-5,-8.0,0.457,0.258,0.285,0
-0.6599999999999999,-0.9400000000000002,2,11,-9,-2.5,0.457,0.258,0.285,1
0.06999999999999995,0.5,5,5,0,-4.5,0.457,0.258,0.285,1
0.17000000000000015,0.02000000000000024,5,5,0,0.5,0.457,0.258,0.285,1
0.54,1.4099999999999997,9,1,8,6.0,0.457,0.258,0.285,1
0.56,-0.15000000000000013,11,7,4,-0.5,0.457,0.258,0.285,1
0.30000000000000004,0.1399999999999999,8,2,6,0.0,0.457,0.258,0.285,1
0.22999999999999998,0.8999999999999999,8,7,1,4.0,0.457,0.258,0.285,1
-1.0599999999999998,-1.35,2,12,-10,-5.5,0.457,0.258,0.285,-1
-0.24,-0.9100000000000001,5,13,-8,-0.5,0.457,0.258,0.285,1
-0.7999999999999998,-0.8799999999999999,10,10,0,-5.5,0.457,0.258,0.285,-1
0.22999999999999987,0.29000000000000004,7,5,2,1.0,0.457,0.258,0.285,1
